Name,Status,List Builder,C. Manager,CSM,Seller,Execution Timeline - Start,Execution Timeline - End,Total Budget,Executed Amount,Executed Take Rate %,Company,# Influencers,# UGC,Internal Handbook,Live Report,Musical Genre,Audience Country,Números,Creative Hashtags,Influencers Budget,Sub-Campaign Budget,Take Rate %,Client Handbook,# Tiktoks,# IG Reels,# IG Posts,# IG Stories,# Youtube,# Streams (Twitch/Kick),Currency,POs/Invoice,# Execution Adjustments,Execution Adjustments Reasons,# Proposal Adjustments,Proposal Adjustments Reasons,PDF Presentation,Proposal,Music List Type,Last Updated,Deal Created Date,Proposal Board Start Date,Building Proposal Start Date,Pending Approval Start Date,Execution Board Start Date,Ongoing Start Date,Building Reports Start Date,Completed Date,Proposal Timeline - Start,Proposal Timeline - End,Subelementos LWT Status,# Posts,# Published,% Progress,Views,Engagement,CPM,CPE(mile),ER%,Seller ID,CSM ID,Hubspot ID,Campaign ID,US List URL,Creative URL,Brief URL,monday Doc v2
"Oscar Maydon ""Rico o Muerto, Vol.1"" Social Spread",Completed,Genesis Martinez,Genesis Martinez,,Steven Campos,6/6/2025,6/9/2025,8000,,100%,Sony Music Latin,16,,https://docs.google.com/spreadsheets/d/1l5N_PYuK3t6CIRJXrAfB1lX3TjWYVLqEEz338iTqjnI/edit?usp=sharing,influur | Oscar Maydon - Rico o Muerto Vol.1 - Social Spread - https://music.influur.com/promote/e1d6b2fc-ae7a-4915-85e8-64a3bd9c8f0a/share/?token=EQI2613CegjkQFR5OwScZ0M4orQ8rr02jqKildMd0GY,Regional MX,MEX,,SocialSpread,8000,,,,,,,,,,USD,,,,1,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-06-06,,2025-06-06,2025-06-06,2025-06-06,2025-06-06,2025-06-10,2025-06-16,6/6/2025,6/6/2025,,,,,2340170,126235,3.4,63,5.4,189598736,,9321239093,,,,,
"Myke Towers ""Soleao"" Djs",Completed,camila.parra@influur.com,Carolina Anaya,,Steven Campos,6/6/2025,6/11/2025,1600,,100%,Warner Music Mexico,2,,https://docs.google.com/spreadsheets/d/17SWmwDatzhOofGKNKtcHfJXQazpOhTz8UMTnPjCXuNY/edit?usp=sharing,"influur | Myke Towers ""Soleao"" - https://music.influur.com/promote/0d6ccd7d-5ab2-4d7f-b5b4-3fe8d0390de0/share/?token=cVzGF4vrZ8LwFaMmOJ2qGDe5JDo2d5pT-VpU5AB1wNg",Reggaeton,MEX,,"Djs, DJMix",1600,,,,,,,,,,USD,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-06-06,,2025-06-06,2025-06-06,2025-06-06,2025-06-06,2025-06-11,2025-06-13,6/6/2025,6/6/2025,,,,,321109,27000,5,59,8.4,189598736,,9323717911,,,,,
"Myke Towers ""Soleado"" Mids",Completed,"camila.parra@influur.com, valentina.semprun@influur.com",Carolina Anaya,,Steven Campos,6/6/2025,6/15/2025,1200,,100%,Warner Music Mexico,2,,https://docs.google.com/spreadsheets/d/1Sm6qvFgP9gp68-48uS8J7k4FgvuUcFHeOAd8ubxBsRM/edit?usp=sharing,"influur | Myke Towers ""Soleao"" - https://music.influur.com/promote/0d6ccd7d-5ab2-4d7f-b5b4-3fe8d0390de0/share?token=cVzGF4vrZ8LwFaMmOJ2qGDe5JDo2d5pT-VpU5AB1wNg",Reggaeton,MEX,,sports,1200,,,,,,,,,,USD,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-06-05,,2025-06-05,2025-06-06,2025-06-06,2025-06-06,2025-06-16,2025-06-17,6/4/2025,6/4/2025,,,,,250000,22000,4.8,55,8.8,189598736,,9314481677,,,,,
"Miley Cyrus ""Easy Lover""",Completed,Juan Val,Andres Ignacio Gomez,,Polina Andrieieva,6/6/2025,6/16/2025,7200,,100%,Sony Music Mexico,13,,https://docs.google.com/spreadsheets/d/1TZ6fB2lcsELV1AB-Rb8obB0IZ4jC23KKkydPMqbBaBc/edit?usp=sharing,"influur | Miley Cyrus - ""Easy Lover"" - https://music.influur.com/promote/67494e04-3ec5-4c93-9ab2-b061b2f455ed/share?token=phBBEETHuN-TnCLuXqqNNJIewzEReoUldn5G-nZY894",Pop,MEX,,Dance,7200,,,https://docs.google.com/spreadsheets/d/1jajOjIkoqY4iwbeqaHKzcuHB1wwxSNsFsswanjzN2xM/edit?gid=468208211#gid=468208211,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-06-03,,2025-06-03,2025-06-04,2025-06-06,2025-06-06,2025-06-17,2025-06-17,6/3/2025,6/3/2025,,,,,1853715,100726,3.9,71,5.4,414817948,,,,,,,
"Belinda ""+Perra +Bicth"" Dance Trend",Completed,camila.parra@influur.com,Carolina Anaya,,Steven Campos,6/6/2025,6/13/2025,4000,,100%,Warner Music Mexico,1,15,https://docs.google.com/spreadsheets/d/1fDG3AqQt4rpIUCCk_mDT7rYDe713f-TWu8Ut9dMJHKs/edit?usp=sharing,"influur | Belinda ""+Perra +Bitch"" - https://music.influur.com/promote/ee0d7bc3-1073-4c51-a2b5-8760c62d7357/share?token=wGr6hADNEu2vw2khRlYEq368o5u5Sm_UJnKBqNGxJgs",Reggaeton,MEX,,Dance,4000,,,,,,,,,,USD,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-06-06,,2025-06-06,2025-06-06,2025-06-06,2025-06-06,2025-06-13,2025-06-19,6/6/2025,6/6/2025,,,,,685049,109795,5.8,36,16,189598736,,9320732087,,,,,
"Addison Rae ""Reviewers""",Completed,Juan Val,Andres Ignacio Gomez,,Polina Andrieieva,6/6/2025,6/18/2025,2550,,100%,Sony Music Mexico,4,,https://docs.google.com/spreadsheets/d/1w8XAAhv1SfR8eXSsEmCtISOpecnmtTxuZaX4v4rzTho/edit?usp=sharing,influur | Addison Rae - ¨ADDISON¨ - https://music.influur.com/promote/7a564b6a-d0fb-473f-8f70-f2f59ee608d2/share?token=xJ1OlgjY9IaG1bZsnYa13S-A88Vu4WQOYUXyz6uKvps,Pop,MEX,,Reviewers,2550,,,https://docs.google.com/spreadsheets/d/1l7Sc9_dlXEAueaRjSL4uTTlXXfjbNegLIMPiEBeYAUw/edit?gid=1495913918#gid=1495913918,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-05-30,,2025-05-30,2025-05-30,2025-06-02,2025-06-06,2025-06-19,2025-06-20,5/30/2025,5/30/2025,,,,,419378,27480,6.1,93,6.6,414817948,,,,,,,
"Tate McRae ""Just Keep Watching""",Completed,Juan Val,maria.escobar@influur.com,,Steven Campos,6/6/2025,6/14/2025,9000,,100%,Warner Regional Latam,5,,https://docs.google.com/spreadsheets/d/1nUAezB7gv0WUu9SWWrZnQt8_6Taatj_miE1MzvnIG5U/edit?usp=sharing,"influur | Tate McRae ""Just Keep Watching"" - https://music.influur.com/promote/8389ea68-bf80-4935-b482-0592892b0e81/share?token=-m5zHXBfqFKXUejxJElbgAPnA9hDTTOstSWm8oXoJ1Q",Pop,MEX,,"Transition, Dance",9000,,,https://docs.google.com/spreadsheets/d/1YNi84TwE0SzzuI-6aGLmNMjhhli1C2mOFTBpd9q4dxU/edit,,,,,,,USD,,,,1,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-06-05,,2025-06-05,2025-06-05,2025-06-06,2025-06-06,2025-06-16,2025-07-01,6/5/2025,6/5/2025,,,,,3038235,105218,3,86,3.5,189598736,,9316077404,,,,,
"Myke Towers ""Soleao"" Parejas",Completed,"camila.parra@influur.com, Carolina Anaya",Carolina Anaya,,Steven Campos,6/5/2025,6/10/2025,1200,,100%,Warner Music Mexico,3,,https://docs.google.com/spreadsheets/d/1BvEdrMEveCxX_e8qinKZ2zc5RRXjWe279KYKC_jr2ws/edit?usp=sharing,https://music.influur.com/promote/0d6ccd7d-5ab2-4d7f-b5b4-3fe8d0390de0/share?token=cVzGF4vrZ8LwFaMmOJ2qGDe5JDo2d5pT-VpU5AB1wNg,Reggaeton,MEX,,"recap, Vacaciones, Couples",1200,,,,,,,,,,USD,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-06-05,,2025-06-05,,2025-06-05,2025-06-05,,2025-06-10,6/4/2025,6/4/2025,,,,,97000,6234,12.4,192,6.4,189598736,,9314444014,,,,,
"Mattei ""Pa Las Girlas"" Micros",Completed,camila.parra@influur.com,Genesis Martinez,,Steven Campos,6/5/2025,6/18/2025,5000,,100%,Warner Music Latina Inc.,,98,https://docs.google.com/spreadsheets/d/1O7QZK8jriC-YkBPgQJC_gtKc3VotywlaJzZtAYAgUqg/edit?usp=sharing,influur | Mattei - Pa Las Girlas (Micros) - https://music.influur.com/promote/6b5805e3-2b5e-4255-a041-8aa29e72b599/share?token=oiTZc1mJ59KsWduQM8E9xSDfcNFGLRAStMr2d0w5zWw,Urbano,"CH, ARG",,"microsfiltrados, Dance",5000,,,,,,,,,,USD,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-06-05,,2025-06-05,,2025-06-05,2025-06-05,2025-06-19,2025-06-20,6/4/2025,6/4/2025,,,,,1796660,270904,2.8,18,15.1,189598736,,9314388126,,,,,
"Alejandro Sanz ""¿Y Ahora qué?"" Phase 2",Completed,Juan Val,maria.escobar@influur.com,,Polina Andrieieva,6/5/2025,6/22/2025,5200,,100%,Sony Music Mexico,14,,https://docs.google.com/spreadsheets/d/1Tv7TN9Fn9H2fAE_q9oTKJIlUCkEhc2-F5ZDdgsr1uDo/edit?usp=sharing,"influur | Alejandro Sanz ""¿Y Ahora Qué?"" Phase 2 - https://music.influur.com/promote/efc784c6-00ce-4efe-b8e0-ab0dac8e2684/share?token=FJ5GemhMWVN08EwovXd9T-hGegWD-l4gHVNUqx_m3IQ",Pop,MEX,,POV,5200,,,https://docs.google.com/spreadsheets/d/1yK4lO7x_BjsjQQOGSc9fzZPJVdPGvOygc9FUrpHsGak/edit?usp=sharing,,,,,,,,,,,1,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-06-03,,2025-06-03,2025-06-04,2025-06-05,2025-06-05,2025-06-23,2025-07-01,6/3/2025,6/3/2025,,,,,7267538,397456,0.7,13,5.5,414817948,,,,,,,
"Myke Towers ""Soleao"" Key Talent Nori",Completed,Juan Val,Carolina Anaya,,Steven Campos,6/4/2025,6/7/2025,400,,100%,Warner Music Mexico,1,,https://docs.google.com/spreadsheets/d/1uu00hUAk0XXb_jABZs6rBFcwbr3gDUMGVbbMo5S5sOM/edit?usp=sharing,https://music.influur.com/promote/0d6ccd7d-5ab2-4d7f-b5b4-3fe8d0390de0/share?token=cVzGF4vrZ8LwFaMmOJ2qGDe5JDo2d5pT-VpU5AB1wNg,Reggaeton,MEX,,cocktails,400,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-05-27,,2025-05-27,2025-05-27,2025-06-04,2025-06-04,,2025-06-09,5/27/2025,5/27/2025,,,,,7200,933,55.6,429,13,189598736,,,,,,,
“La T3ta Afuera” Phase 2,Completed,,Genesis Martinez,,Steven Campos,6/4/2025,6/15/2025,5000,,100%,Universal Music Latin,7,,https://docs.google.com/spreadsheets/d/12KCKwADMrfXuhbuAnOr8aA5oQwE9jcYrtZCLHH6_1RY/edit?usp=sharing,"influur | Anyoca ""La T3ta Afuera"" - https://music.influur.com/promote/b4c38a03-a51b-4ee7-be15-3d4338bb3649/share?token=QLanNhs-ZhvzU1o_iLdbkhdbyfZFdbodN2y5YnzycWc",Urbano,"MEX, US LATIN, DR",,"Lip-sync, Dance",5000,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-06-03,,2025-06-03,,2025-06-03,2025-06-03,2025-06-16,2025-06-16,6/3/2025,6/3/2025,,,,,977410,61230,5.1,82,6.3,189598736,,,,,,,
"Yandel, Dei V, Square Houze ""Replay"" Social Spread",Completed,"camila.parra@influur.com, maria.escobar@influur.com",maria.escobar@influur.com,,Steven Campos,6/4/2025,6/5/2025,3100,,100%,Warner Music Latina Inc.,2,,https://docs.google.com/spreadsheets/d/1OByHVDJt0stguWnuqv82zQ30N0_uPe-BZ7ygYCf-Bag/edit?usp=sharing,https://music.influur.com/promote/4bd2be32-e450-46a2-b276-a2758bba51d0/share?token=lkCiO7eKBBQ2i8a5Dw-nUhGyl3rwZ1oc8VpYTxF57pY,Reggaeton,"COL, PR",,SocialSpread,3100,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-06-04,,2025-06-04,2025-06-04,2025-06-04,2025-06-06,2025-06-09,2025-06-17,6/4/2025,6/4/2025,,,,,0,2900,,1069,,189598736,,,,,,,
"Esau Ortiz “Triple Lavada"" Remix",Completed,,Genesis Martinez,,Steven Campos,6/4/2025,6/18/2025,9375,,100%,Sony Music Latin,12,,https://docs.google.com/spreadsheets/d/1cQDJgMNok8CJ_62lhrbXqJFvLdL38x5RRKia77uG-l4/edit?usp=sharing,"influur | Esau Ortiz ""Triple Lavada"" Remix - https://music.influur.com/promote/a4d75845-8093-4a15-8a92-1df3c5c7b98f/share?token=JPXSIJr5pPgNp8iywM3RWF1dq9FC5Bs3FkgqWkHRzHU",Regional MX,"MEX, CA",,POV,9375,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-05-30,,2025-05-30,2025-05-30,2025-06-03,2025-06-03,2025-06-18,2025-06-18,5/30/2025,5/30/2025,,,,,7540321,774775,1.2,12,10.3,189598736,,,,,,,
Tokisha Miami & Celos,Completed,Juan Val,Genesis Martinez,,Steven Campos,6/4/2025,6/18/2025,5000,,100%,Warner Music Latina Inc.,10,,https://docs.google.com/spreadsheets/d/1OXPqj8qrP2dNO5sBnGy0sDGQ1fXsgm50ogQ1yrLDThA/edit?usp=sharing,influur | Tokisha - Miami & Celos - https://music.influur.com/promote/45cb47f8-21c4-43d5-bb1d-beca3d080983/share?token=47Uto1uFOrFoVqngXam_K18_tddV71LMlEI0Jt_cJcM,Urbano,RD,,"Dance, Lip-sync",5000,,,https://docs.google.com/spreadsheets/d/1iB0oZkAjEbtZbqHLJSsWIxn5dypApIO5pt0KTrsH_i8/edit?gid=1118432923#gid=1118432923,,,,,,,,,,,,,,https://www.canva.com/design/DAGo3a3pvXo/atrGDPzxt1OQt3CjFnn8ew/edit?utm_content=DAGo3a3pvXo&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-05-28,,2025-05-28,2025-05-29,2025-06-03,2025-06-04,2025-06-19,2025-06-20,5/28/2025,5/28/2025,,,,,4680091,533284,1.1,9,11.4,189598736,,,,,,,
"Bruses ""Me Estoy Rindiendo""",Completed,Juan Val,maria.escobar@influur.com,,Justin Nho,6/4/2025,6/27/2025,5000,,100%,RCA,12,,https://docs.google.com/spreadsheets/d/1mbbSchACECT64iA3Fz8WAm0ed9cnQn2i2J6bkzWfQNM/edit?gid=912555793#gid=912555793,"influur | Bruses ""Me Estoy Rindiendo"" - https://music.influur.com/promote/2124656a-2b13-4630-aa6f-046816beca5e/share?token=R9WMeOWULFQWjDmys0JwP-WSMkPjtbBvgPWlB2OpITI",Alternativo,"MEX, US",,POV,5000,,,https://docs.google.com/spreadsheets/d/1WdQlkobAz1hEmK1KGGu6HZA_rE5-zbTKrlSJ9sGjrBA/edit?usp=sharing,,,,,,,,,,,,,Done,https://www.canva.com/design/DAGpPdEb3Jw/fGs682dQM5Cn6KHeXh3ZDg/edit,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-05-30,,2025-05-30,2025-06-02,2025-06-04,2025-06-04,2025-06-28,2025-07-08,5/30/2025,5/30/2025,,,,,2159536,195917,2.3,26,9.1,1003108766,,,,,,,
"Marconi Impara - ""Lonely""",Completed,,valentina.semprun@influur.com,,Steven Campos,6/3/2025,6/3/2025,1362,,100%,XYZ,6,,https://docs.google.com/spreadsheets/d/1eH4ceu4QsOX3U4QRympXL9Gh2HjiQsGkHsDaXH6TL3g/edit?gid=446413141#gid=446413141,,Reggaeton,"COL, ARG, PER, MEX",,Libre,1362,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-05-29,,2025-05-29,2025-05-30,2025-06-03,2025-06-03,,2025-06-17,5/29/2025,5/29/2025,,,,,,,,,,189598736,,,,,,,
"Elena Rose ""Sintigo"" - Dj's",Completed,Juan Val,Genesis Martinez,,Steven Campos,6/3/2025,6/16/2025,5000,,100%,Warner Music Latina Inc.,4,,https://docs.google.com/spreadsheets/d/1voJtQTgC2z4iEUW_hnZ432Z5gK6uv-J2suZsbZIkLv8/edit?usp=sharing,influur | Elena Rose - Sintigo (Djs) - https://music.influur.com/promote/0edc07b5-eafa-4d2c-a6fa-7740fe9f6d27/share?token=e_Vcd_8ruEfJgOkWQprEtY1cjqOELXjjZ9oQvNU2Idw,AfroHouse,US LATIN,,Djs,5000,,,https://docs.google.com/spreadsheets/d/1MOFK2Anyb2UL2y6KyySk2N-1gZp3YxoWvQnIwe_6DiI/edit?gid=107367610#gid=107367610,,,,,,,,,,,,,Done,https://www.canva.com/design/DAGo-AS2Yjo/U3vuqhCXskINr_gWHdQOow/edit?utm_content=DAGo-AS2Yjo&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-05-30,,2025-05-30,2025-05-30,2025-06-03,2025-06-03,2025-06-17,2025-06-17,5/30/2025,5/30/2025,,,,,1304507,3550,3.8,1408,0.3,189598736,,,,,,,
"Golden ""Otra Nota""",Completed,Juan Val,maria.escobar@influur.com,,Polina Andrieieva,6/3/2025,6/19/2025,3000,,100%,Platoon,10,,https://docs.google.com/spreadsheets/d/1f_5P17_qBWQEvGJQ1Kaa-ajbuBvZMaO6eW5OU7b8kQs/edit?gid=335870895#gid=335870895,"influur | Golden ""Otra Nota"" - https://music.influur.com/promote/a234dfbd-e5a7-4454-8419-49adbf239c60/share?token=wGU431VjN_XRh63RekjVZeO8akfjTlyW2pXSNQcowd4",Reggaeton,COL,,"SocialSpread, Dance, Lip-sync, Review",3000,,,https://docs.google.com/spreadsheets/d/19_BPJOZ0_PRbaTAniiAKrhBO1f2HQkL_Kir0XFEz1EQ/edit?gid=1831663293#gid=1831663293,,,,,,,,,,,,,Done,https://www.canva.com/design/DAGoMn6uxEk/E1nCu1qtoYFm0moZemMFtQ/edit?utm_content=DAGoMn6uxEk&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-05-22,,2025-05-22,2025-05-22,2025-06-03,2025-06-03,2025-06-23,2025-07-24,5/22/2025,5/22/2025,,,,,10000,1722,300,1742,17.2,414817948,,,,,,,
"Beele ""Quedate"" y ""Top Diesel""",Completed,"camila.parra@influur.com, maria.escobar@influur.com",Genesis Martinez,,Steven Campos,6/2/2025,6/13/2025,20000,,100%,"5020 Records, Sony Music",8,,https://docs.google.com/spreadsheets/d/1Rh4Gt-neDHlmzP3-QbYh4uetW3Wke3JB52RUSoYNnZI/edit?usp=sharing,influur | Beele - Quédate y Top Diesel - https://music.influur.com/promote/64a76a36-b71f-44cf-b0cd-a8ac0a4df0a9/share?token=e62t1G3RVo1QNNDfs1QJyRa_ganT9xYTbXpCufus24U,Urbano,US LATIN,,Lip-sync,20000,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-05-30,,2025-05-30,2025-05-30,2025-06-02,2025-06-02,2025-06-13,2025-06-16,5/30/2025,5/30/2025,,,,,8550107,944993,2.3,21,11.1,189598736,,,,,,,
"Karol G ""Latina Foreva""- CDMX Event",Completed,,Andres Ignacio Gomez,,Steven Campos,5/31/2025,6/9/2025,8800,,100%,Interscope Records,8,,https://docs.google.com/spreadsheets/d/1UfdPrIZgkAuwZ-cCukKhGAFGE7tFB-aql8me49mejyk/edit?gid=991538768#gid=991538768,"influur | Karol G ""Latina Foreva""- CDMX Event - https://music.influur.com/promote/dc388920-531d-40fc-9441-bb96146ad563/share?token=kNAGvQalRxujFVm6XqdSpiGdai8CqrOinGl2LjvyWSQ",Reggaeton,MEX,,"recap, RECAPEVENTO",8800,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-05-30,,2025-05-30,2025-05-30,2025-06-02,2025-06-02,2025-06-10,2025-06-20,5/30/2025,5/30/2025,,,,,1084579,40126,8.1,219,3.7,189598736,,,,,,,
"India Martínez ""AGUACHILE"" - Reviewers",Completed,Juan Val,Genesis Martinez,,Steven Campos,5/30/2025,6/12/2025,2000,,100%,"Sony Music Entertainment España, S.L.",4,,https://docs.google.com/spreadsheets/d/1M_9-SlMNElWN5Wn8C6yjP1hnSgcHNMaDuoRW5F64e4o/edit?usp=sharing,influur | India Martinez - Aguachile (Explainers) - https://music.influur.com/promote/bb34f234-4e67-4e7e-85fc-515458112922/share?token=YfJGQHNkespH_ZfiOYPLxDgDtQXbnTeiJZweX88Z7Sw,Pop,MEX,,Reviewers,2000,,,,,,,,,,,,,,1,,,,,"Juan Meza Oct 29, 2025 4:49 PM",2025-05-28,,2025-05-28,2025-05-29,2025-05-30,2025-05-30,2025-06-13,2025-06-16,5/28/2025,5/28/2025,,,,,373557,3342,5.4,598,0.9,189598736,,,,,,,
Carlos Santana x Grupo Frontera Reactions,Completed,Juan Val,valentina.semprun@influur.com,,Polina Andrieieva,5/30/2025,6/5/2025,2550,,100%,Sony Music Mexico,4,,https://docs.google.com/spreadsheets/d/1AHrh3WUTAi6QHHNoIJzmeNkbv6C5uXyDWyUhT-uumkA/edit?gid=1380322649#gid=1380322649,https://music.influur.com/promote/13351d19-10ac-4dc7-aa12-1f95f5298188/share?token=MgXIoK7pG0Dc1NGLjooO8nFl3PPsRjtVoGBbnY8KkFA,Regional MX,MEX,,Reactions,2550,,,https://docs.google.com/spreadsheets/d/1EV6qgl2Oo9ZC64ksubzRtgKePzlBDDBYpoktxLZ3pNw/edit?usp=sharing,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-05-21,,2025-05-21,2025-05-22,2025-05-27,2025-05-30,2025-06-06,2025-06-11,5/21/2025,5/21/2025,,,,,121275,9145,21,279,7.5,414817948,,,,,,,
"Karol G ""Latina Foreva""- Miami Event",Completed,"Genesis Martinez, camila.parra@influur.com",Andres Ignacio Gomez,,Steven Campos,5/30/2025,6/3/2025,7700,,100%,Interscope Records,7,,https://docs.google.com/spreadsheets/d/1N8LpUuAIJM9hnUC0Bslw9MLbXW4a1TtLPNKuuMwCwE4/edit?usp=sharing,"influur | Karol G - ""Latina Foreva¨ (Miami Event) - https://music.influur.com/promote/76b9b2eb-39c9-4e55-a289-26074d4ff9a8/share?token=K0Zu1J9qnPwWKyjAzLDuK2bdpFIFonET6xVOKJh3hIM",Reggaeton,Miami,,"RECAPEVENTO, recap",7700,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-05-29,,2025-05-29,2025-05-29,2025-05-30,2025-06-02,,2025-06-04,5/29/2025,5/29/2025,,,,,1510053,22630,5.1,340,1.5,189598736,,,,,,,
"Jesse & Joy ""Empinar El Codo""",Completed,Juan Val,Carolina Anaya,,Steven Campos,5/30/2025,6/10/2025,3000,,100%,Warner Music Mexico,8,,https://docs.google.com/spreadsheets/d/1EQZVdyU4Q-5Eu_NpaMOkhgRGvKeBDP9qMbuCOvfynrA/edit?usp=sharing,https://music.influur.com/promote/3b95266d-72bb-49ae-825a-4c2b69eb0857/share?token=dOWM8ZF01GktgI1VCScR7n4B499OjP6Nx1ZGBcdcnMI,Pop,MEX,,Libre,3000,,,https://docs.google.com/spreadsheets/d/12kpnAbNSy4-IWoiJDEtLhdWK3gkqYicPeTviViI96cA/edit?usp=sharing,,,,,,,,,,,,,Done,https://www.canva.com/design/DAGo8L6ISMI/CJQ_bmQJ-BkybrQx3Dul2A/edit,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-05-28,,2025-05-28,2025-05-30,2025-05-30,2025-05-30,2025-06-10,2025-06-13,5/28/2025,5/28/2025,,,,,850766,30500,3.5,98,3.6,189598736,,,,,,,
"Blessd ""Amista""",Completed,camila.parra@influur.com,maria.escobar@influur.com,,Steven Campos,5/30/2025,6/11/2025,2570,,100%,Warner Music Mexico,4,,https://docs.google.com/spreadsheets/d/1WWFKAmPbt7B4RlRh2auurZGftJajBUb8pr2d7YS5Uzg/edit?usp=sharing,"influur | Blessd ""Amista"" - Reto - https://music.influur.com/promote/e699f7f8-58fc-42dd-b53b-ceacc0a87e3e/share?token=jxEQyIZUIZBCmnmyq5bMGzmHm5UtQOMfrf8E-DtoAXE",Reggaeton,MEX,,"POV, Libre",2570,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-05-29,,2025-05-29,2025-05-30,2025-05-30,2025-05-30,2025-06-13,2025-06-17,5/29/2025,5/29/2025,,,,,6586053,1222098,0.4,2,18.6,189598736,,,,,,,
"Arcángel ""Quien Contra Mi""",Completed,,valentina.semprun@influur.com,,Steven Campos,5/30/2025,6/17/2025,7000,,100%,XYZ,8,130,https://docs.google.com/spreadsheets/d/1hasf3DTW-L30He6wmqrKMr9eA2GsaCUypj9bLQ51EjE/edit?gid=471503913#gid=471503913,"Arcángel ""Quien Contra Mi"" | Influur - https://dashboard.influur.com/client/arc%C3%A1ngel-quien-contra-mi147-1",Reggaeton,"CH, ESP, US LATIN",,"Lip-sync, POV",7000,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-05-27,,2025-05-27,2025-05-28,2025-05-31,2025-05-31,2025-06-18,2025-07-04,5/27/2025,5/27/2025,,,,,974000,61000,7.2,115,6.3,189598736,,,,,,,
Alejandro Sanz “Besame”,Completed,Juan Val,Genesis Martinez,,Steven Campos,5/30/2025,6/18/2025,20000,,100%,Sony Music Latin,18,,https://docs.google.com/spreadsheets/d/1IuZumn9qMXwotGqGxlGmkHIjX9VtASmuiSdBTxKoxbc/edit?usp=sharing,influur | Alejandro Sanz - Besame - https://music.influur.com/promote/3b8c484e-3ccf-4c6f-81fe-0713c0d74813/share?token=I46QjRxhgz7PUtDb2P8vMn_Rg96_RVejGygg-6FXZuY,Pop,"CH, COL, PER, ARG",,"POV, parejas",20000,,,https://docs.google.com/spreadsheets/d/1bZ1zFLtGk7MOIqvl8kFcgqt2xeYETVwz4NUhZ7_rmAo/edit?gid=38854641#gid=38854641,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:28 PM",2025-05-28,,2025-05-28,2025-05-28,2025-05-30,2025-05-30,2025-06-18,2025-07-28,5/28/2025,5/28/2025,,,,,25411615,1839486,0.8,11,7.2,189598736,,,,,,,
